ID,LoA,IPName,Project,District,Subcounty,Parish,Village,FFS Name,GroupStatus,Formation,GPS_Eastings,GPS_Northings,Facilitator,Contact,Sex,MaleMembers,FemaleMembers,PWD Males,PWD Females,TotalMembership,VC_Enterprise_Activity1,VC_Enterprise_Activity2,VC_Enterprise_Activity3,VC_Enterprise_Act 4
1,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nawokotelei,Old,2021,,,,,,,,,,,,,,
2,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Looi,Old,2021,,,,,,,,,,,,,,
3,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lonangat,Old,2021,,,,,,,,,,,,,,
4,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lokitela united,Old,2021,,,,,,,,,,,,,,
5,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lolepon,Old,2021,,,,,,,,,,,,,,
6,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lolelia,Old,2021,,,,,,,,,,,,,,
7,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakileeth,Old,2021,,,,,,,,,,,,,,
8,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lobobore,New ,2021,,,,,,,,,,,,,,
9,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Natapai,New ,2021,,,,,,,,,,,,,,
10,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Ajokis Ka akuj,Old,2021,,,,,,,,,,,,,,
11,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakadilit,Old,2021,,,,,,,,,,,,,,
12,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Aleluiah,Old,2021,,,,,,,,,,,,,,
13,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Akucho,Old,2021,,,,,,,,,,,,,,
14,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nasola ,Old,2021,,,,,,,,,,,,,,
15,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Lotende,Old,2021,,,,,,,,,,,,,,
16,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakoreato,Old,2021,,,,,,,,,,,,,,
17,,ECO,UNJP/UGA/068/EC,Nabilatuk,Nabilatuk,,,Nakamistai,Old,2021,,,,,,,,,,,,,,
18,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Adwaramukung,Old,2021,,,,,,,,,,,,,,
19,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Tonyou Tochau,New,2025,,,,,,,,,,,,,,
20,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Muge,Old ,2014,,,,,,,,,,,,,,
21,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Nakwii,New,2025,,,,,,,,,,,,,,
22,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Kaikinya,Old,2014,,,,,,,,,,,,,,
23,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Lokorete,Old,2014,,,,,,,,,,,,,,
24,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Mogoth,Old,2014,,,,,,,,,,,,,,
25,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Natirae,Old,2014,,,,,,,,,,,,,,
26,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Arengekipi,Old,2014,,,,,,,,,,,,,,
27,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Namonikepie,Old,2014,,,,,,,,,,,,,,
28,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Lobemet,Old,2014,,,,,,,,,,,,,,
29,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Kamothing,Old,2014,,,,,,,,,,,,,,
30,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Apalakiru,New,2025,,,,,,,,,,,,,,
31,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Nakitoikirionon,New,2025,,,,,,,,,,,,,,
32,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Nakadidii,New,2025,,,,,,,,,,,,,,
33,,ECO,UNJP/UGA/068/EC,Nabilatuk,Kosike,,,Ochaka Oyara,New,2025,,,,,,,,,,,,,,
34,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Morchichi,Old,2021,,,,,,,,,,,,,,
35,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Kapetamuget New,Old,2021,,,,,,,,,,,,,,
36,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Kapetamuget Old,Old,2021,,,,,,,,,,,,,,
37,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Kaplawach,New,2025,,,,,,,,,,,,,,
38,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Ko_,Old,2021,,,,,,,,,,,,,,
39,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Lopoyin,New,2025,,,,,,,,,,,,,,
40,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Kalya,New,2025,,,,,,,,,,,,,,
41,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Akoretoyon,Old,2021,,,,,,,,,,,,,,
42,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Lemusui,,,Kapsopon,Old,2021,,,,,,,,,,,,,,
43,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Morupus ,Old ,2021,,,,,,,,,,,,,,
44,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Karon,Old ,2021,,,,,,,,,,,,,,
45,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Apapai,Old ,2021,,,,,,,,,,,,,,
46,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Napeleth,Old ,2021,,,,,,,,,,,,,,
47,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Napoom,Old ,2021,,,,,,,,,,,,,,
48,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Akumoit,Old ,2021,,,,,,,,,,,,,,
49,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Kitelore,Old ,2021,,,,,,,,,,,,,,
50,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Moruita,,,Teete,Old ,2021,,,,,,,,,,,,,,
51,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Nakayot ,New,2025,,,,,,,,,,,,,,
52,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Nakorisat Apiary ,New,2025,,,,,,,,,,,,,,
53,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Nakorisat Farmers,New,2025,,,,,,,,,,,,,,
54,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Nakwanga Producer,New,2025,,,,,,,,,,,,,,
55,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Toboku Alokwap,New,2025,,,,,,,,,,,,,,
56,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Etiyata Kaapei,New,2025,,,,,,,,,,,,,,
57,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Etata Oyara,New,2025,,,,,,,,,,,,,,
58,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Namalu,,,Komojoj Farmers ,New,2025,,,,,,,,,,,,,,
59,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Kakomokwee,Old,2021,,,,,,,,,,,,,,
60,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Nachele,Old,2021,,,,,,,,,,,,,,
61,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Nakingol,Old,2014,,,,,,,,,,,,,,
62,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Lokibui,Old,2014,,,,,,,,,,,,,,
63,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Kapetakinei,Old,2014,,,,,,,,,,,,,,
64,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Arechek ,New,2025,,,,,,,,,,,,,,
65,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Gelegel,Old,2014,,,,,,,,,,,,,,
66,,ECO,UNJP/UGA/068/EC,Nakapiripirit,Loregae,,,Loregae,Old,2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,